timestamp,HexForceX,HexForceY,HexForceZ,HexTorqueX,HexTorqueY,HexTorqueZ,ContactFX,ContactFY,ContactFZ,ContactRX,ContactRY,ContactRZ,TCP_pose0,TCP_pose1,TCP_pose2,TCP_pose3,TCP_pose4,TCP_pose5,Angle0,Angle1,Angle2,Angle3,Angle4,Angle5
1248.893652,-5.55,-0.8699999999999999,12.049999999999999,-0.027,0.397,0.183,-6.900298420889214,-2.63313273213425,-4.090639932037632,0.16650464978846657,0.22139645597814714,0.18595373317192143,0.5302069879619896,-0.09565267836797615,0.5320527175913541,2.2147693019832984,-2.209237937109553,0.06025669198650354,0.16070407629013062,-1.627740045587057,-1.5481244325637817,-1.5238379065743466,1.5341014862060547,0.15676185488700867
1248.901647,-4.84,-0.72,11.78,0.047,0.352,0.161,-6.189266748014362,-2.4836224175099266,-4.360518586071892,0.2405260800958558,0.17644495033005422,0.16396723100918847,0.5302139575453549,-0.09547478438206665,0.5319885636077712,2.214794310536479,-2.209170929530478,0.060391939515725135,0.16106802225112915,-1.6276785335936488,-1.5483753681182861,-1.5236326952329655,1.5340111255645752,0.157083660364151
1248.909665,-5.06,1.77,10.91,-0.082,0.21,0.083,-6.408138440796963,0.005623143221724192,-5.230363450201747,0.11155918997274183,0.034498466989706496,0.0859866781975919,0.5302322876417128,-0.0953365588447184,0.5318918983242179,2.2145816456207146,-2.209324974903187,0.06056920792639341,0.16135787963867188,-1.6276561222472132,-1.54867684841156,-1.523332392131426,1.5338919162750244,0.15753860771656036
1248.921813,-3.26,1.46,11.88,0.035,0.277,0.052,-4.606216868166659,-0.3041601077675469,-4.2602519588700165,0.22854922124209853,0.10158634027334781,0.05498765758013725,0.5302586874900782,-0.0951678181932404,0.5317680147855568,2.2144849590582365,-2.209242138498652,0.06072147618524437,0.161713108420372,-1.6276561222472132,-1.5490041971206665,-1.5230615076473732,1.5337347984313965,0.15790052711963654
1248.93161,-2.06,0.72,10.73,-0.017,0.24,-0.005,-3.405786348070917,-1.0450372187475157,-5.410132604995491,0.1765878931646463,0.06460804790169752,-0.001992309895687539,0.5302774869649837,-0.0949767658984199,0.5316990781337667,2.2145157088531984,-2.209246341709704,0.060839727658300535,0.16208955645561218,-1.6276112995543421,-1.5492620468139648,-1.5227969300797959,1.5336850881576538,0.1582641452550888
1248.941719,-1.32,0.65,11.09,0.004,0.275,0.017,-2.6645582579718625,-1.1147548667014866,-5.0500758154155,0.19757516583409068,0.09966389869819445,0.0200052375765689,0.5302721428787666,-0.09486520526850961,0.5316120616860516,2.2143640135731015,-2.209261723523297,0.0609270153872566,0.16233189404010773,-1.6275660000243128,-1.5495356321334839,-1.52262311175976,1.53357994556427,0.1585826277732849
1248.949633,-0.7799999999999999,-0.11,11.44,-0.0029999999999999996,0.223,-0.003,-2.1240922273778655,-1.8739046688094805,-4.700129935798785,0.19053750047827178,0.04768347307457633,-1.1597385654760206e-05,0.5303033704499779,-0.09468687015861452,0.5314888735409549,2.214308623805264,-2.2092103946509267,0.060890942555973535,0.1626753807067871,-1.6275912723936976,-1.5498216152191162,-1.5224001084319134,1.533549189567566,0.15892978012561798
1248.965764,-1.48,0.65,11.459999999999999,-0.047999999999999994,0.184,0.007,-2.823274212578815,-1.1134665107066044,-4.68011745840159,0.14551797121668167,0.008720131983166075,0.009981416153583708,0.5303113261888581,-0.09455100963969797,0.5313835155522255,2.214294964733476,-2.2091252272364805,0.06092255820913027,0.1629505455493927,-1.6275707683958949,-1.550119161605835,-1.5221770492247124,1.5334885120391846,0.1591736078262329
1248.973745,-1.5599999999999998,0.9299999999999999,10.48,-0.056,0.157,-0.01,-2.9031923970988194,-0.8348635216645495,-5.659969424474216,0.13757968858897507,-0.018273059691578407,-0.006988442995408933,0.5303278604062341,-0.0944820768637198,0.5313755474888325,2.2143324936701725,-2.2091896522012884,0.061058278405835005,0.1630854308605194,-1.6275540790953578,-1.5501950979232788,-1.5220124845257779,1.5334608554840088,0.15931877493858337
1248.981713,-1.17,0.8699999999999999,11.34,0.047,0.273,0.026,-2.5128234859349567,-0.8940164804222148,-4.800029965450888,0.24054218244000186,0.0977420566092149,0.028994505630083267,0.5303430701583786,-0.09438353400830968,0.5312614552199142,2.2142023674064673,-2.2092119201927,0.06101674889650688,0.16327813267707825,-1.6275750599303187,-1.550460934638977,-1.5218122352710743,1.5334337949752808,0.15958216786384583
