# px py pz qx qy qz qw joint1 joint2 joint3 joint4 joint5 joint6 fx fy fz tx ty tz
-0.180062,0.476385,0.009587,0.999999,0.000365,-0.000025,0.001491,-1.557454,-1.096628,2.262644,-2.733917,-1.570699,0.012529,0.081954,-19.885906,2.264632,0.526740,0.001234,-0.004958
-0.180041,0.483215,0.008786,0.999999,0.000644,-0.000096,0.000846,-1.557773,-1.086951,2.245059,-2.727405,-1.570566,0.011694,0.117587,-17.095000,1.921104,0.453147,0.002271,-0.004245
-0.179978,0.492529,0.007713,-1.000000,-0.000875,0.000214,0.000297,-1.558274,-1.074196,2.222055,-2.719532,-1.570351,0.010732,0.156642,-13.701564,1.534765,0.363551,0.003426,-0.003395
-0.179857,0.502985,0.006500,-0.999998,-0.001057,0.000361,0.001803,-1.558927,-1.060063,2.196745,-2.711422,-1.570084,0.009727,0.184704,-10.867774,1.241217,0.288590,0.004283,-0.002696
-0.179667,0.513686,0.005227,-0.999993,-0.001205,0.000519,0.003489,-1.559701,-1.045660,2.171094,-2.703565,-1.569798,0.008665,0.203139,-8.595322,1.014369,0.228378,0.004874,-0.002137
-0.179405,0.524067,0.003947,-0.999985,-0.001326,0.000673,0.005197,-1.560572,-1.031682,2.146290,-2.696145,-1.569516,0.007560,0.213295,-6.797350,0.832708,0.180672,0.005231,-0.001697
-0.179073,0.533799,0.002698,-0.999975,-0.001428,0.000814,0.006810,-1.561516,-1.018542,2.123011,-2.689203,-1.569253,0.006418,0.217124,-5.382465,0.683555,0.143088,0.005408,-0.001350
-0.178678,0.542710,0.001504,-0.999964,-0.001516,0.000935,0.008252,-1.562518,-1.006458,2.101602,-2.682724,-1.569017,0.005246,0.216372,-4.271055,0.559506,0.113538,0.005451,-0.001076
-0.178224,0.550735,0.000384,-0.999953,-0.001594,0.001037,0.009486,-1.563565,-0.995522,2.082194,-2.676673,-1.568813,0.004048,0.212499,-3.397805,0.455929,0.090305,0.005400,-0.000860
-0.177720,0.557872,-0.000654,-0.999943,-0.001665,0.001118,0.010495,-1.564647,-0.985745,2.064786,-2.671015,-1.568641,0.002828,0.206627,-2.710640,0.369551,0.072013,0.005287,-0.000690
-0.177172,0.564161,-0.001605,-0.999934,-0.001732,0.001181,0.011283,-1.565751,-0.977106,2.049281,-2.665742,-1.568621,0.001544,0.501657,-2.342214,2.110557,0.179594,-0.051130,-0.000628
-0.175680,0.570285,-0.001805,-0.999915,-0.002031,-0.000640,0.012890,-1.566725,-0.970280,2.035006,-2.661684,-1.572610,-0.000044,0.745038,-2.071679,3.875082,0.290656,-0.105687,-0.000273
-0.173992,0.575961,-0.001578,-0.999885,-0.002196,-0.002790,0.014725,-1.567736,-0.964727,2.022167,-2.658014,-1.576739,-0.001443,0.654284,-1.697843,4.145990,0.298878,-0.109882,0.000371
-0.172654,0.580893,-0.001330,-0.999858,-0.002294,-0.004153,0.016198,-1.568844,-0.959986,2.010877,-2.654337,-1.579287,-0.002792,0.547477,-1.362929,4.385142,0.302861,-0.110921,0.000920
-0.171613,0.585113,-0.001142,-0.999836,-0.002343,-0.004857,0.017289,-1.570026,-0.955890,2.001038,-2.650722,-1.580525,-0.004091,0.465764,-1.090165,4.593370,0.306549,-0.108464,0.001335
-0.170794,0.588716,-0.001009,-0.999821,-0.002379,-0.005064,0.018072,-1.571260,-0.952354,1.992498,-2.647243,-1.580828,-0.005411,0.405517,-0.871370,4.776929,0.310591,-0.103770,0.001639
-0.170075,0.591787,-0.000922,-0.999811,-0.002410,-0.005042,0.018610,-1.572518,-0.949307,1.985105,-2.643944,-1.580705,-0.006734,0.366045,-0.695039,4.936166,0.314540,-0.099238,0.001893
-0.169394,0.594403,-0.000869,-0.999805,-0.002439,-0.004923,0.018957,-1.573789,-0.946691,1.978717,-2.640843,-1.580405,-0.008060,0.337427,-0.552185,5.075684,0.318387,-0.095022,0.002106
-0.168722,0.596630,-0.000839,-0.999802,-0.002466,-0.004770,0.019151,-1.575066,-0.944456,1.973210,-2.637943,-1.580045,-0.009385,0.314670,-0.435699,5.199190,0.322104,-0.091166,0.002285
-0.168047,0.598522,-0.000827,-0.999802,-0.002491,-0.004611,0.019223,-1.576346,-0.942556,1.968473,-2.635237,-1.579676,-0.010710,0.295457,-0.340164,5.309605,0.325683,-0.087657,0.002435
-0.167364,0.600125,-0.000829,-0.999803,-0.002515,-0.004458,0.019195,-1.577630,-0.940948,1.964411,-2.632718,-1.579321,-0.012032,0.278646,-0.261432,5.409124,0.329126,-0.084464,0.002561
